Rack,Source,Rack,Destination,Volume,Tool
1,A1,1,A1,10,TS_50
1,A1,1,A2,10,TS_50
1,A1,1,A3,10,TS_50
1,A1,1,A4,10,TS_50
1,A1,1,A5,10,TS_50
1,A1,1,A6,10,TS_50
1,A1,1,A7,10,TS_50
1,A1,1,A8,10,TS_50
1,A1,1,A9,10,TS_50
1,A1,1,A10,10,TS_50
1,A1,1,A11,10,TS_50
1,A1,1,A12,10,TS_50
1,A1,1,B1,10,TS_50
1,A1,1,C1,10,TS_50
1,A1,1,D1,10,TS_50
1,A1,1,E1,10,TS_50
1,A1,1,F1,10,TS_50
1,A1,1,G1,10,TS_50
1,A1,1,B12,10,TS_50
1,A1,1,C12,10,TS_50
1,A1,1,D12,10,TS_50
1,A1,1,E12,10,TS_50
1,A1,1,F12,10,TS_50
1,A1,1,G12,10,TS_50
1,A1,1,B12,10,TS_50
1,A1,1,H2,10,TS_50
1,A1,1,H3,10,TS_50
1,A1,1,H4,10,TS_50
1,A1,1,H5,10,TS_50
1,A1,1,H6,10,TS_50
1,A1,1,H7,10,TS_50
1,A1,1,H8,10,TS_50
1,A1,1,H9,10,TS_50
1,A1,1,H10,10,TS_50
1,A1,1,H11,10,TS_50
1,A1,1,H12,10,TS_50
1,A4,1,B2,10,TS_50
1,B3,1,B2,10,TS_50
1,B6,1,B2,10,TS_50
1,C5,1,B2,10,TS_50
1,D2,1,B2,10,TS_50
1,D6,1,B2,10,TS_50
1,A5,1,C2,10,TS_50
1,B2,1,C2,10,TS_50
1,C1,1,C2,10,TS_50
1,C5,1,C2,10,TS_50
1,D2,1,C2,10,TS_50
1,D7,1,C2,10,TS_50
1,A5,1,D2,10,TS_50
1,B3,1,D2,10,TS_50
1,C1,1,D2,10,TS_50
1,C4,1,D2,10,TS_50
1,D3,1,D2,10,TS_50
1,D7,1,D2,10,TS_50
1,A4,1,E2,10,TS_50
1,B2,1,E2,10,TS_50
1,C1,1,E2,10,TS_50
1,C4,1,E2,10,TS_50
1,D2,1,E2,10,TS_50
1,D6,1,E2,10,TS_50
1,A5,1,F2,10,TS_50
1,B2,1,F2,10,TS_50
1,C1,1,F2,10,TS_50
1,C4,1,F2,10,TS_50
1,D3,1,F2,10,TS_50
1,D6,1,F2,10,TS_50
1,A3,1,G2,10,TS_50
1,B1,1,G2,10,TS_50
1,B5,1,G2,10,TS_50
1,C3,1,G2,10,TS_50
1,D1,1,G2,10,TS_50
1,D5,1,G2,10,TS_50
1,A5,1,B3,10,TS_50
1,B3,1,B3,10,TS_50
1,B6,1,B3,10,TS_50
1,C5,1,B3,10,TS_50
1,D3,1,B3,10,TS_50
1,D6,1,B3,10,TS_50
1,A4,1,C3,10,TS_50
1,B2,1,C3,10,TS_50
1,B6,1,C3,10,TS_50
1,C5,1,C3,10,TS_50
1,D2,1,C3,10,TS_50
1,D7,1,C3,10,TS_50
1,A4,1,D3,10,TS_50
1,B3,1,D3,10,TS_50
1,C1,1,D3,10,TS_50
1,C5,1,D3,10,TS_50
1,D3,1,D3,10,TS_50
1,D6,1,D3,10,TS_50
1,A5,1,E3,10,TS_50
1,B2,1,E3,10,TS_50
1,B6,1,E3,10,TS_50
1,C5,1,E3,10,TS_50
1,D2,1,E3,10,TS_50
1,D6,1,E3,10,TS_50
1,A5,1,F3,10,TS_50
1,B2,1,F3,10,TS_50
1,C1,1,F3,10,TS_50
1,C4,1,F3,10,TS_50
1,D2,1,F3,10,TS_50
1,D7,1,F3,10,TS_50
1,A5,1,G3,10,TS_50
1,B3,1,G3,10,TS_50
1,C1,1,G3,10,TS_50
1,C5,1,G3,10,TS_50
1,D3,1,G3,10,TS_50
1,D7,1,G3,10,TS_50
1,A3,1,B4,10,TS_50
1,B1,1,B4,10,TS_50
1,B5,1,B4,10,TS_50
1,C3,1,B4,10,TS_50
1,D1,1,B4,10,TS_50
1,D5,1,B4,10,TS_50
1,A3,1,C4,10,TS_50
1,B1,1,C4,10,TS_50
1,B5,1,C4,10,TS_50
1,C3,1,C4,10,TS_50
1,D1,1,C4,10,TS_50
1,D5,1,C4,10,TS_50
1,A4,1,D4,10,TS_50
1,B3,1,D4,10,TS_50
1,B6,1,D4,10,TS_50
1,C4,1,D4,10,TS_50
1,D3,1,D4,10,TS_50
1,D7,1,D4,10,TS_50
1,A3,1,E4,10,TS_50
